shortened_url,Final_label,EUIP,EU,label,x,accept,reject,manage,banner,x_salience_avg,accept_salience_avg,reject_salience_avg,manage_salience_avg,banner_salience_avg,x_salience_max,accept_salience_max,reject_salience_max,manage_salience_max,banner_salience_max,image_salience_avg,image_salience_max,Note
7sun.eu,full,FALSE,TRUE,"[{""x"":27.47708509903632,""y"":43.292682926829265,""width"":18.164767555011455,""height"":5.894308943089435,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":47.136422136422134,""y"":43.49593495934959,""width"":16.095363656339266,""height"":5.69105691056911,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":12.646357158552279,""y"":43.49593495934959,""width"":13.45112534136924,""height"":5.4878048780487845,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":10.576953259880089,""y"":20.32520325203252,""width"":77.4876793169476,""height"":32.52032520325203,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,73.81715126361173,107.06875184864482,91.59963056453248,2519.924530632442,0,158.47966507177034,128.5496738244088,119.49736,102.08073612434077,0,196,185,170,255,68.87283358443769,255,
20minutes.fr,full,FALSE,TRUE,"[{""x"":53.57456759895784,""y"":47.15447154471545,""width"":21.728740936058003,""height"":2.439024390243901,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":60.58754747779138,""y"":75.20325203252033,""width"":20.6940389867219,""height"":6.910569105691053,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":49.78066045139216,""y"":75.60975609756098,""width"":9.657218193803558,""height"":6.707317073170728,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":16.325297422858398,""y"":9.959349593495935,""width"":67.37059359010577,""height"":80.28455284552847,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,143.00758649360654,52.99692911233656,64.77402447063359,5408.817981319468,0,207.8832298136646,161.73837700760777,156.8902824858757,106.79338376746188,0,255,218,210,255,76.74251482101312,255,"rl, rh"
24.hu,manage,FALSE,TRUE,"[{""x"":74.38357346893932,""y"":89.43089430894308,""width"":24.143045484508903,""height"":7.317073170731717,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":49.89562733465172,""y"":89.83739837398373,""width"":24.372979251028028,""height"":6.707317073170742,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":0,""y"":48.170731707317074,""width"":98.52661895344822,""height"":51.6260162601626,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,176.65643037445562,0,163.47729985445653,5086.5368321495625,0,108.07550698138297,0,108.76128080139529,92.23163289088644,0,245,0,255,255,77.78282914801686,255,
abrmesstechnik.de,full choices,FALSE,TRUE,"[{""x"":24.32019289995944,""y"":82.10116731517509,""width"":48.64038579991889,""height"":7.587548638132304,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":24.430239021678712,""y"":63.42412451361867,""width"":48.31024743476105,""height"":7.392996108949426,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":24.32019289995944,""y"":91.63424124513618,""width"":48.20020131304179,""height"":7.003891050583675,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":22.559454952451063,""y"":0.5836575875486382,""width"":53.15227679040909,""height"":98.24902723735408,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,357.15747130757245,369.06129303440446,337.5889586127449,5222.159490108286,0,96.51000716992728,95.38438758588012,73.42605194022137,90.64858495198068,0,222,168,254,255,63.27701348349812,255,
acosol.es,choices,FALSE,TRUE,"[{""x"":82.31449904601656,""y"":92.60700389105058,""width"":14.636134188663377,""height"":3.6964980544747164,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":4.218847493575595e-15,""y"":29.37758191013228,""width"":97.94104833015335,""height"":70.62241808986771,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879},{""x"":1.7607379475083755,""y"":88.91050583657587,""width"":9.574012589576792,""height"":4.2801556420233595,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":58.654584147299815,""y"":42.996116896622574,""width"":38.51614260174571,""height"":37.54863813229572,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879}]",0,54.10244155342505,40.97826400207978,1446.2287008048488,6916.833663,0,34.416987885462554,42.66690215471565,63.885647796833105,48.086656987834346,0,66,80,129,207,52.675682264419464,255,
ad.nl,manage,FALSE,TRUE,"[{""x"":55.90342983339093,""y"":85.99221789883269,""width"":20.028394152907765,""height"":8.560311284046676,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":24.210146778240166,""y"":85.99221789883269,""width"":29.71245286420384,""height"":8.560311284046676,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":21.348947613539053,""y"":0.5836575875486382,""width"":57.554121659180026,""height"":98.63813229571984,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,254.34784553014913,0,171.44928846847083,5677.031066382155,0,109.91779883548351,0,63.79522761888644,88.70312191915872,0,172,0,166,255,69.46639521042252,255,
adevarul.ro,manage,FALSE,TRUE,"[{""x"":82.86472965461293,""y"":38.32684824902724,""width"":11.884981145681536,""height"":7.58754863813229,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":82.86472965461293,""y"":47.276264591439684,""width"":12.215119510839358,""height"":15.75875486381323,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":0.11004612171927347,""y"":10.505836575875486,""width"":97.9410483301534,""height"":86.18677042801556,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,90.17787250614388,0,192.4950740034996,8441.222647910108,0,179.1615167406212,0,118.60177962892844,75.23138486695355,0,248,0,255,255,66.72658763102449,255,
adressinformationen.de,full,FALSE,TRUE,"[{""x"":62.286104893108785,""y"":81.1284046692607,""width"":22.33936270901252,""height"":6.6147859922178895,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":62.06601264967024,""y"":72.17898832684824,""width"":22.559454952451063,""height"":7.003891050583661,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":62.06601264967024,""y"":63.42412451361867,""width"":22.229316587293255,""height"":7.003891050583668,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":0.11004612171927347,""y"":50.97276264591439,""width"":98.05109445187266,""height"":48.44357976653698,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,147.7701035226507,158.00396464751725,155.69171150633431,4749.946015275545,0,162.42657550535077,186.16179579082805,185.89233286582515,70.49670989655705,0,244,243,245,255,61.16180563791485,255,
adscale.de,full,FALSE,TRUE,"[{""x"":63.71670447545934,""y"":76.65369649805449,""width"":27.181392064660557,""height"":10.311284046692592,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":35.65494343704461,""y"":77.23735408560312,""width"":27.071345942941278,""height"":9.338521400778205,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":7.483136276910598,""y"":76.84824902723736,""width"":27.18139206466055,""height"":9.922178988326849,""rotation"":0,""rectanglelabels"":[""reject""],""original_width"":1554,""original_height"":879},{""x"":6.052536694560041,""y"":10.894941634241246,""width"":86.49625167134894,""height"":78.98832684824903,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",0,280.2750544,269.69863721744906,252.80634343602736,6832.194198164917,0,147.55017967814177,149.63953805087976,111.75427423981641,87.26121745460775,0,211,255,232,255,71.25159923453438,255,
adveva.co.uk,manage xa,FALSE,TRUE,"[{""x"":35.87503568048315,""y"":51.36186770428015,""width"":12.655303997716459,""height"":6.614785992217911,""rotation"":0,""rectanglelabels"":[""manage""],""original_width"":1554,""original_height"":879},{""x"":50.07098538226943,""y"":51.55642023346303,""width"":13.865811336628468,""height"":6.420233463035032,""rotation"":0,""rectanglelabels"":[""accept""],""original_width"":1554,""original_height"":879},{""x"":76.04187010801797,""y"":12.840466926070038,""width"":1.4305995823505526,""height"":2.5291828793774336,""rotation"":0,""rectanglelabels"":[""x""],""original_width"":1554,""original_height"":879},{""x"":20.46857863978487,""y"":10.505836575875486,""width"":58.54453675465349,""height"":52.33463035019455,""rotation"":0,""rectanglelabels"":[""banner""],""original_width"":1554,""original_height"":879}]",3.6182479709255246,89.02174594,0,83.71212761135416,3063.906690078169,151.55533596837944,196.7296511627907,0,123.60861193768598,91.79447792605347,174,248,0,213,255,69.6789576,255,
